time,cont_state_fl,cont_state_fr,cont_state_rl,cont_state_rr,ref_body_pos_x,ref_body_pos_y,ref_body_pos_z,ref_body_lin_vel_x,ref_body_lin_vel_y,ref_body_lin_vel_z,ref_body_euler_r,ref_body_euler_p,ref_body_euler_y,ref_body_euler_dr,ref_body_euler_dp,ref_body_euler_dy,ref_foot_fl_pos_x,ref_foot_fl_pos_y,ref_foot_fl_pos_z,ref_foot_fr_pos_x,ref_foot_fr_pos_y,ref_foot_fr_pos_z,ref_foot_rl_pos_x,ref_foot_rl_pos_y,ref_foot_rl_pos_z,ref_foot_rr_pos_x,ref_foot_rr_pos_y,ref_foot_rr_pos_z,ref_foot_fl_lin_vel_x,ref_foot_fl_lin_vel_y,ref_foot_fl_lin_vel_z,ref_foot_fr_lin_vel_x,ref_foot_fr_lin_vel_y,ref_foot_fr_lin_vel_z,ref_foot_rl_lin_vel_x,ref_foot_rl_lin_vel_y,ref_foot_rl_lin_vel_z,ref_foot_rr_lin_vel_x,ref_foot_rr_lin_vel_y,ref_foot_rr_lin_vel_z,ref_foot_fl_frc_x,ref_foot_fl_frc_y,ref_foot_fl_frc_z,ref_foot_fr_frc_x,ref_foot_fr_frc_y,ref_foot_fr_frc_z,ref_foot_rl_frc_x,ref_foot_rl_frc_y,ref_foot_rl_frc_z,ref_foot_rr_frc_x,ref_foot_rr_frc_y,ref_foot_rr_frc_z,ref_gripper_pos_x,ref_gripper_pos_y,ref_gripper_pos_z,ref_gripper_lin_vel_x,ref_gripper_lin_vel_y,ref_gripper_lin_vel_z,ref_gripper_euler_r,ref_gripper_euler_p,ref_gripper_euler_y,ref_gripper_euler_dr,ref_gripper_euler_dp,ref_gripper_euler_dy,ref_gripper_frc_x,ref_gripper_frc_y,ref_gripper_frc_z,wbc_jnt_trq_fl_hip,wbc_jnt_trq_fl_upper,wbc_jnt_trq_fl_lower,wbc_jnt_trq_fr_hip,wbc_jnt_trq_fr_upper,wbc_jnt_trq_fr_lower,wbc_jnt_trq_rl_hip,wbc_jnt_trq_rl_upper,wbc_jnt_trq_rl_lower,wbc_jnt_trq_rr_hip,wbc_jnt_trq_rr_upper,wbc_jnt_trq_rr_lower,wbc_jnt_trq_waist,wbc_jnt_trq_shoulder,wbc_jnt_trq_elbow,wbc_jnt_trq_wrist_angle,wbc_jnt_trq_wrist_rotate,wbc_jnt_trq_wrist2,wbc_foot_frc_fl_x,wbc_foot_frc_fl_y,wbc_foot_frc_fl_z,wbc_foot_frc_fr_x,wbc_foot_frc_fr_y,wbc_foot_frc_fr_z,wbc_foot_frc_rl_x,wbc_foot_frc_rl_y,wbc_foot_frc_rl_z,wbc_foot_frc_rr_x,wbc_foot_frc_rr_y,wbc_foot_frc_rr_z,sim_base_pos_x,sim_base_pos_y,sim_base_pos_z,sim_base_lin_vel_x,sim_base_lin_vel_y,sim_base_lin_vel_z,sim_base_euler_r,sim_base_euler_p,sim_base_euler_y,sim_base_euler_dr,sim_base_euler_dp,sim_base_euler_dy,sim_foot_fl_pos_x,sim_foot_fl_pos_y,sim_foot_fl_pos_z,sim_foot_fr_pos_x,sim_foot_fr_pos_y,sim_foot_fr_pos_z,sim_foot_rl_pos_x,sim_foot_rl_pos_y,sim_foot_rl_pos_z,sim_foot_rr_pos_x,sim_foot_rr_pos_y,sim_foot_rr_pos_z,sim_foot_fl_lin_vel_x,sim_foot_fl_lin_vel_y,sim_foot_fl_lin_vel_z,sim_foot_fr_lin_vel_x,sim_foot_fr_lin_vel_y,sim_foot_fr_lin_vel_z,sim_foot_rl_lin_vel_x,sim_foot_rl_lin_vel_y,sim_foot_rl_lin_vel_z,sim_foot_rr_lin_vel_x,sim_foot_rr_lin_vel_y,sim_foot_rr_lin_vel_z,sim_foot_fl_frc_z,sim_foot_fr_frc_z,sim_foot_rl_frc_z,sim_foot_rr_frc_z,sim_gripper_pos_x,sim_gripper_pos_y,sim_gripper_pos_z,sim_gripper_lin_vel_x,sim_gripper_lin_vel_y,sim_gripper_lin_vel_z,sim_gripper_euler_r,sim_gripper_euler_p,sim_gripper_euler_y,sim_gripper_euler_dr,sim_gripper_euler_dp,sim_gripper_euler_dy
0.018000000000000002,1,1,1,1,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.879950174308719,-0.08760609687461256,77.49803893931961,-4.767820511747039,-0.08760609663354074,77.49803893931964,-4.879950174363906,-0.20996897416010316,77.49803893931961,-4.7678205113606875,-0.20996897461883932,77.49803893931961,0.5627,0.002,0.9304,-1.3877787807814457e-14,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009358875219555612,-3.4579269506230013e-07,0.6944405122288774,0.41112918106713897,0.00029279087877057196,-0.5076004102744726,0.0021614954120341666,-0.028768720323602448,2.5266705550067723e-05,0.09618681020919813,-1.8173693302158211,-0.004919164751669681,0.16103321742936366,-0.001307157153725461,1.0225271074633848,0.16103321742936366,-0.001307157153725461,1.0225271074633848,0.16103321742936366,-0.001307157153725461,1.0225271074633848,0.16103321742936366,-0.001307157153725461,1.0225271074633848,4.132527989902811,3.8814277887911763,0.9052152719581392,4.132527989902811,3.8814277887911763,0.9052152719581392,4.132527989902811,3.8814277887911763,0.9052152719581392,4.132527989902811,3.8814277887911763,0.9052152719581392,0.0,0.0,0.0,0.0,0.16103321742936366,-0.001307157153725461,1.0225271074633848,4.132527989902811,3.8814277887911763,0.9052152719581392,0.12802538492306706,-0.23153129320224086,-0.015469137634057432,14.157859724189706,-11.967308720006903,2.0219638006368914
0.038,1,1,1,1,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0697094162570417,0.04300656676533847,77.49803893931963,-2.842452197902198,0.04300656647358417,77.49803893931966,-3.069709417081249,-0.22428379195403203,77.49803893931961,-2.8424521975227015,-0.22428379054161776,77.49803893931961,0.5627,0.002,0.9304,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014491275372724668,3.257303079299233e-05,0.6820210460944129,0.08720523546952995,-0.0010106105742946618,-0.6978345936859952,0.0035341766212092425,-0.05590576909954348,-0.00024586339073538006,0.030284457010346266,-0.9168433566031043,-0.00661063643765121,0.16937946759908504,-0.0019769180784075437,1.0818869096903851,0.16937946759908504,-0.0019769180784075437,1.0818869096903851,0.16937946759908504,-0.0019769180784075437,1.0818869096903851,0.16937946759908504,-0.0019769180784075437,1.0818869096903851,3.706696711470187,7.355506251937406,2.233848988207768,3.706696711470187,7.355506251937406,2.233848988207768,3.706696711470187,7.355506251937406,2.233848988207768,3.706696711470187,7.355506251937406,2.233848988207768,0.0,0.0,0.0,0.0,0.16937946759908504,-0.0019769180784075437,1.0818869096903851,3.706696711470187,7.355506251937406,2.233848988207768,0.1694717995746048,-0.40080087453119506,-0.01579763521488174,24.618136489435013,-6.815890730314846,1.3840009806047373
0.058,1,1,1,1,0.0,0.0,0.4999999999999999,0.0,0.0,-2.7755575615628914e-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.794536337357499,-0.023723746558255866,77.49803893931964,-1.7247238729456988,-0.02372374748318641,77.49803893931966,-1.7945363378432084,-0.11606399552839769,77.49803893931961,-1.7247238726264806,-0.11606399552858028,77.49803893931963,0.5627,0.002,0.9304,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014746092850192372,5.022751226418791e-05,0.6672692090482434,-0.11238476623306529,-0.002380076050743332,-0.7675230159031065,0.003957238188643114,-0.06805137080499657,-0.0003887997765317794,-0.00795832916892347,-0.4759573845296446,3.483669591360962e-06,0.20150623628276923,-0.00242543153050719,1.1434275528509406,0.20150623628276923,-0.00242543153050719,1.1434275528509406,0.20150623628276923,-0.00242543153050719,1.1434275528509406,0.20150623628276923,-0.00242543153050719,1.1434275528509406,1.4988570289798564,7.9123841363392255,2.9386667043240076,1.4988570289798564,7.9123841363392255,2.9386667043240076,1.4988570289798564,7.9123841363392255,2.9386667043240076,1.4988570289798564,7.9123841363392255,2.9386667043240076,0.0,0.0,0.0,0.0,0.20150623628276923,-0.00242543153050719,1.1434275528509406,1.4988570289798564,7.9123841363392255,2.9386667043240076,0.1705098237724284,-0.47796316356983515,-0.015206478212652128,24.473195406845267,2.4041406673025856,-0.0075581365862493755
0.078,1,1,1,1,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4337786764076883,-0.06261609300684692,77.49803893931963,-2.4168114979970734,-0.06261609338540022,77.49803893931964,-2.433778677091968,-0.08467991782761046,77.49803893931963,-2.4168114981796758,-0.08467991787467057,77.49803893931963,0.5627,0.002,0.9304,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012620677763987967,6.364276070774728e-05,0.6507090920177988,-0.19690979447084442,-0.003109607481007439,-0.8642626118052222,0.004026335047698351,-0.07793683059793555,-0.00046041093348111626,-0.029065899375323813,-0.5346874795747188,0.0021785499002820803,0.25745100172299423,-0.0026936740656913465,1.1827250085393246,0.25745100172299423,-0.0026936740656913465,1.1827250085393246,0.25745100172299423,-0.0026936740656913465,1.1827250085393246,0.25745100172299423,-0.0026936740656913465,1.1827250085393246,1.7282829896487757,7.847236980180589,1.8516485870457038,1.7282829896487757,7.847236980180589,1.8516485870457038,1.7282829896487757,7.847236980180589,1.8516485870457038,1.7282829896487757,7.847236980180589,1.8516485870457038,0.0,0.0,0.0,0.0,0.25745100172299423,-0.0026936740656913465,1.1827250085393246,1.7282829896487757,7.847236980180589,1.8516485870457038,0.17027696579269097,-0.512631695376752,-0.014036240018475046,24.391527284733648,3.289872362647464,0.1542099163300108
0.098,1,1,1,1,0.0,0.0,0.49999999999999994,0.0,0.0,2.7755575615628914e-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.116646620716306,-0.07167265379574969,80.87603852222225,12.07739331836475,-0.07167265530389258,80.83098664024101,12.116646620989458,-0.018825320369003477,140.21952500114932,12.077393318249992,-0.01882532262197159,140.02990736706607,0.5627,0.002,0.9304,1.3877787807814457e-14,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009982477634026198,7.431980368079973e-05,0.6316798754663103,-0.22085945863892525,-0.0035875671214355607,-1.0012753343332599,0.004003430476980437,-0.08968949411577576,-0.0005372527585983107,-0.0025213311321333554,-0.6368760462856314,0.000584124333353149,0.31899766832951765,-0.002827477856855176,1.1914150451889458,0.31899766832951765,-0.002827477856855176,1.1914150451889458,0.31899766832951765,-0.002827477856855176,1.1914150451889458,0.31899766832951765,-0.002827477856855176,1.1914150451889458,0.784357164658273,7.722385687538185,0.9447536200930456,0.784357164658273,7.722385687538185,0.9447536200930456,0.784357164658273,7.722385687538185,0.9447536200930456,0.784357164658273,7.722385687538185,0.9447536200930456,0.0,0.0,0.0,0.0,0.31899766832951765,-0.002827477856855176,1.1914150451889458,0.784357164658273,7.722385687538185,0.9447536200930456,0.17057221102104095,-0.5205329243386181,-0.014546513347777151,24.38183694576442,4.709578516161715,-0.4840068619464102
0.11800000000000001,1,1,1,1,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.280320384176528,-0.04932372583193619,147.99246299610218,11.213819141158288,-0.04932372727263491,147.9404121251835,11.280320383960595,0.03007413331844006,203.09448948068137,11.213819141793309,0.030074135632945972,203.02762429053206,0.5627,0.002,0.9304,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075668134309158615,7.939991939589237e-05,0.6095486100252555,-0.2334347013589218,-0.004267685670950122,-1.1624836613073046,0.003924939115633467,-0.10277284621733052,-0.0006256859759808373,0.008398106654994726,-0.6677095074953902,-0.00039552901510048265,0.3758674622452063,-0.0028076445602968425,1.1721757388425134,0.3758674622452063,-0.0028076445602968425,1.1721757388425134,0.3758674622452063,-0.0028076445602968425,1.1721757388425134,0.3758674622452063,-0.0028076445602968425,1.1721757388425134,-0.5879833533199204,7.461275690306002,0.6273069967636333,-0.5879833533199204,7.461275690306002,0.6273069967636333,-0.5879833533199204,7.461275690306002,0.6273069967636333,-0.5879833533199204,7.461275690306002,0.6273069967636333,0.0,0.0,0.0,0.0,0.3758674622452063,-0.0028076445602968425,1.1721757388425134,-0.5879833533199204,7.461275690306002,0.6273069967636333,0.17004998957887044,-0.49171782835230493,-0.014217548344365144,24.372936237103993,6.558973384685914,-0.7546147511951915
0.138,1,1,1,1,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.543403812863199,-0.031406896996097416,224.49933567826008,9.453338442019989,-0.03140689823697531,224.496000318459,9.543403814155052,0.06800746969358952,272.3988354816374,9.453338441786867,0.06800746622333746,272.3766921093448,0.5627,0.002,0.9304,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005529423861935107,8.040673761752509e-05,0.5840001382375205,-0.24889931696072798,-0.004908289195847199,-1.335488341938263,0.0038330124566747416,-0.11565790520021446,-0.0007130332099998143,0.01474133584341619,-0.6294975455427411,-0.0012794143603742287,0.42450348696112494,-0.0026943573685634077,1.1323756215076908,0.42450348696112494,-0.0026943573685634077,1.1323756215076908,0.42450348696112494,-0.0026943573685634077,1.1323756215076908,0.42450348696112494,-0.0026943573685634077,1.1323756215076908,-1.6576486632670635,7.343645615882908,0.6198063949358058,-1.6576486632670635,7.343645615882908,0.6198063949358058,-1.6576486632670635,7.343645615882908,0.6198063949358058,-1.6576486632670635,7.343645615882908,0.6198063949358058,0.0,0.0,0.0,0.0,0.42450348696112494,-0.0026943573685634077,1.1323756215076908,-1.6576486632670635,7.343645615882908,0.6198063949358058,0.16887101663257623,-0.4309816326344591,-0.013194542366844919,24.364455257377944,7.913952645578659,-0.7468661604972464
0.158,1,1,1,1,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.842174117779826,-0.020295882173927884,308.12290124327427,7.733845949203125,-0.020295880909021832,308.1253366797865,7.842174118582737,0.09555351295803878,349.7825172954021,7.733845947243798,0.09555351232134467,349.7623445167953,0.5627,0.002,0.9304,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038640439733361055,7.932439310091109e-05,0.5548452111538397,-0.27011357671040814,-0.005480265529786456,-1.5169167600234759,0.0037396096934731353,-0.1274527554910121,-0.0007916297976834396,0.018667641666798792,-0.5652791863583267,-0.0020021451463984492,0.46397787362764975,-0.0025302022858706827,1.0790574875171317,0.46397787362764975,-0.0025302022858706827,1.0790574875171317,0.46397787362764975,-0.0025302022858706827,1.0790574875171317,0.46397787362764975,-0.0025302022858706827,1.0790574875171317,-2.2357909720568707,7.444472518362112,0.6450270217310345,-2.2357909720568707,7.444472518362112,0.6450270217310345,-2.2357909720568707,7.444472518362112,0.6450270217310345,-2.2357909720568707,7.444472518362112,0.6450270217310345,0.0,0.0,0.0,0.0,0.46397787362764975,-0.0025302022858706827,1.0790574875171317,-2.2357909720568707,7.444472518362112,0.6450270217310345,0.16745891268938368,-0.3517209259046492,-0.011862023605903063,24.36787856344898,8.5418058579894,-0.6197761369237202
0.178,1,1,1,1,0.0,0.0,0.4999999999999999,0.0,0.0,-2.7755575615628914e-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.145539888532903,-0.0171085981643232,319.6881008435141,6.026849042239953,-0.01710859190110995,319.685697988384,6.145539888282013,0.10847260997845981,357.2608116213731,6.026849043210779,0.1084726120027147,357.25685086219903,0.5627,0.002,0.9304,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025229025074275033,7.751284602979704e-05,0.5219353074253755,-0.2966354607375268,-0.006012406432542865,-1.7049217355965907,0.003649057503153535,-0.13789997874591053,-0.000860169999630833,0.020857043097995125,-0.4920227142641077,-0.002575021130228647,0.494997360775055,-0.002348173277412826,1.0175787620384917,0.494997360775055,-0.002348173277412826,1.0175787620384917,0.494997360775055,-0.002348173277412826,1.0175787620384917,0.494997360775055,-0.002348173277412826,1.0175787620384917,-2.499498420455578,7.698777013671051,0.6599546504946705,-2.499498420455578,7.698777013671051,0.6599546504946705,-2.499498420455578,7.698777013671051,0.6599546504946705,-2.499498420455578,7.698777013671051,0.6599546504946705,0.0,0.0,0.0,0.0,0.494997360775055,-0.002348173277412826,1.0175787620384917,-2.499498420455578,7.698777013671051,0.6599546504946705,0.16611051381989933,-0.2652307432740888,-0.010507977198296825,24.378825128527737,8.721073289917697,-0.4634185224213647
0.198,1,1,1,1,0.0,0.0,0.5,0.0,0.0,2.7755575615628914e-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.3285,0.19164302,-0.012182209999999971,0.3285,-0.19164302,-0.012182209999999971,-0.3285,0.19164302,-0.012182209999999971,-0.3285,-0.19164302,-0.012182209999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.688977074264247,-0.013050957429256937,321.34390766112665,4.568914783860123,-0.013050963050151116,321.3431408253418,4.688977074451587,0.11372849819304749,355.58094182756685,4.568914783501804,0.11372849522503392,355.57956983254456,0.5627,0.002,0.9304,0.0,0.0,-5.551115123125783e-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014655948601177773,7.558139982353612e-05,0.48515782033326915,-0.32739199591525303,-0.006533994548646463,-1.8975793309226427,0.0035644335996028583,-0.14687376140425323,-0.0009196757261906191,0.02183826393038993,-0.41679784757160465,-0.0030481214653663154,0.5183940181928092,-0.002152218736263399,0.9521120708626274,0.5183940181928092,-0.002152218736263399,0.9521120708626274,0.5183940181928092,-0.002152218736263399,0.9521120708626274,0.5183940181928092,-0.002152218736263399,0.9521120708626274,-2.2657709603130467,7.9573482185509565,0.329158364715766,-2.2657709603130467,7.9573482185509565,0.329158364715766,-2.2657709603130467,7.9573482185509565,0.329158364715766,-2.2657709603130467,7.9573482185509565,0.329158364715766,0.0,0.0,0.0,0.0,0.5183940181928092,-0.002152218736263399,0.9521120708626274,-2.2657709603130467,7.9573482185509565,0.329158364715766,0.16491496183593696,-0.18554341277172148,-0.008780937116049242,24.402288184891,7.908780252665169,-0.19489987706763134
